sinhala_exam,math_exam,sinhala_incorrect_ratio,math_incorrect_ratio,weakness
78,91,0.4753571532049581,0.36599697090570255,0
60,78,0.22291637642679557,0.04998745790900144,0
50,63,0.16685430556951092,0.07143340896097039,1
42,61,0.028205789513550128,0.36099938613341237,0
69,77,0.00038938292050716417,0.49610577964560876,0
72,51,0.30582658024414044,0.003533152609858703,0
64,88,0.2623873301291946,0.19993048585762774,0
67,99,0.18318092164684585,0.22803499210851796,0
86,90,0.19123099563358137,0.4916154429033941,0
96,42,0.4299702033681603,0.34015376929388985,0
48,78,0.006632480579933264,0.4711008778424264,0
53,89,0.19270825126995805,0.007983126110107097,1
41,59,0.12051273301300586,0.3416317594127291,0
83,47,0.017194260557609198,0.45466020103939103,0
75,89,0.331261142176991,0.15585553804470548,1
45,93,0.2733551396716398,0.09242722776276352,1
57,65,0.22487706668488283,0.1975751180009072,1
75,53,0.36363599792821044,0.1632703844029177,0
53,62,0.26041713001291183,0.48058601217467456,0
60,55,0.37366005506869043,0.2698460661945399,0
63,65,0.482627653632069,0.30351712384334234,0
84,80,0.1481367528520412,0.08263346953150125,0
64,46,0.2117007403531848,0.19744075908778486,0
47,63,0.007039911357542228,0.09942120204440258,1
47,74,0.3950877702656028,0.3029799873905057,0
81,78,0.32553851275097223,0.4574798377718904,0
48,47,0.2247253370691017,0.047705058245205656,0
94,62,0.33442062633180364,0.33296117830874833,0
83,79,0.13736089649503208,0.2806217129238506,0
74,76,0.4858560476945519,0.42445691213304193,0
44,65,0.11799245987447787,0.12803416138066198,1
66,48,0.3553314448428937,0.05544541040591566,0
99,52,0.1008596011676981,0.4478817978367597,0
88,91,0.28163778598819184,0.34775804321306375,0
76,62,0.3022086896389086,0.26992054565083656,1
68,75,0.4714267852789905,0.299432733244268,1
90,61,0.44023391950762886,0.3121770240668966,0
96,92,0.43573029509385885,0.40183603844955723,0
83,59,0.4462794992449889,0.26967112095782536,0
97,94,0.4480456499617466,0.15900173748593194,1
72,40,0.11396758127097084,0.21355389431312816,0
91,52,0.4303652916281717,0.0034760652655953517,0
47,66,0.2087055015743895,0.11105390523536512,1
90,81,0.16880758570181398,0.4714548519562596,0
93,71,0.25939531087168305,0.3515094794475889,0
88,88,0.12695770696717235,0.1234380314193006,0
78,41,0.356135294962221,0.07404346497669995,0
95,56,0.1333905071376425,0.48830747791632645,0
67,93,0.016525366450274193,0.1725356240133415,0
40,58,0.3403527257773834,0.2654672916585682,0
65,71,0.276446544535664,0.29634836193969677,0
94,50,0.18482722803070223,0.12107996913871294,0
77,63,0.2351503172230192,0.4917115704474215,0
61,50,0.40821593660969197,0.39917256249227556,0
48,99,0.25409938837035934,0.34790640339544093,0
42,59,0.16297945260094238,0.11012052378277415,0
65,42,0.4047505230698577,0.1743329936458647,0
46,91,0.470261632244802,0.19878601054376116,1
78,57,0.418855052953664,0.33784505851964036,0
96,64,0.10453581036885684,0.2707239869137829,0
81,74,0.11427501089864983,0.08747746354796809,0
87,96,0.25831794563550714,0.1304145874152045,0
40,87,0.4827096756443968,0.2791467268035488,1
71,98,0.09435355417068969,0.13943567629609094,0
58,87,0.42333057111915295,0.4281621459390462,0
93,95,0.4438850493804799,0.42546422438375636,0
88,47,0.3926703255569718,0.3344941273571143,0
74,87,0.05073577143301605,0.3317508845540279,0
68,57,0.08040402570874933,0.27436689468329306,0
93,74,0.32598062975130027,0.11213465473027989,1
72,43,0.11862454374840004,0.16269984907963386,0
59,95,0.32481644952360733,0.42461170524708897,0
56,72,0.27127011527744965,0.25440703841938,1
61,94,0.12523090930279207,0.29493542378027193,0
77,84,0.24337107647972755,0.453049393859277,0
66,73,0.17503920384733784,0.3225516810152824,0
86,72,0.09762149389902225,0.36122605763075266,0
58,43,0.01215798321572692,0.3227361479535839,0
56,83,0.47022929217645715,0.4769642885012937,0
92,45,0.1850793501277222,0.007728308264433714,0
63,68,0.21409207415865716,0.4833274095218348,0
74,99,0.42650472773368003,0.14722444603479284,1
60,71,0.42556833575842845,0.15846100257813883,1
57,64,0.1973457334047361,0.4221065703631557,0
42,79,0.03520806542477195,0.10445935880768009,1
86,61,0.17932339064808195,0.12708182453486938,0
81,41,0.16127538211930026,0.4243348974623372,0
48,82,0.3544554984550593,0.27640998845395387,1
81,94,0.20989042822313825,0.12810347179722903,0
63,52,0.04079709020012018,0.002592431386993388,0
75,84,0.09713697675602112,0.03547045849996383,0
85,55,0.025384265519698468,0.44330857447532995,0
54,67,0.28943244775377935,0.21923706150904348,1
61,90,0.23279900906623008,0.2713223173537883,0
61,97,0.4302023091558376,0.12512568025793203,1
81,45,0.1516327573366114,0.2685412135983277,0
76,72,0.4139345018937943,0.13577145790987094,1
83,44,0.22863258080686427,0.4210115375059907,0
71,91,0.20567695252833929,0.3497561053835969,0
79,91,0.0663727111214849,0.4847684335570795,0
81,69,0.020533758383937895,0.19941045072239727,0
58,67,0.3720213214995577,0.1254302636733306,1
65,92,0.040436483308598836,0.21415723747005388,0
51,92,0.029096797754221804,0.45760686381324023,0
86,73,0.11989367957870162,0.046936645040645875,0
64,79,0.46730699866985487,0.3191352969216752,0
78,44,0.3058603731171761,0.20980003121389496,0
51,65,0.1779863393256308,0.37892305523218456,0
96,68,0.05803632025345812,0.023001321010876374,0
88,69,0.4277302920055036,0.35182892969001184,0
51,55,0.04891708032550074,0.24580793755841618,0
78,75,0.08660093495500759,0.21692582461898652,0
62,97,0.30792504902610823,0.3175468254338219,0
73,91,0.1873063073132356,0.3129299578571182,0
97,71,0.42824492059416114,0.3293468158094725,0
43,55,0.03528437370021492,0.3212096391031578,0
88,67,0.29288779063673165,0.4701151207124788,0
63,51,0.19408496310326095,0.3216441092211766,0
72,90,0.4103197378719777,0.3129698350507864,0
40,72,0.325742385928894,0.10334217993837269,1
68,52,0.10729455985418707,0.18862954161398793,0
90,89,0.3415033867081784,0.035594324230114494,1
47,68,0.4224376554847273,0.011635967867912933,1
73,90,0.14092738738669996,0.05908241381082813,0
92,89,0.314471423389942,0.4387360067635265,0
75,64,0.4017404651924243,0.14101728628565324,1
49,76,0.37530737582042917,0.403417369633632,0
88,74,0.20630883845571324,0.18600904289639159,0
78,71,0.17040177012650892,0.46537866280178236,0
76,51,0.21449701368750917,0.3754355338957487,0
64,74,0.051561934417966304,0.45127645333978333,0
59,87,0.19480904310960173,0.14881758725465544,1
58,88,0.026742648373684452,0.47927074844159917,0
58,51,0.1774525952313603,0.47840044256322817,0
70,91,0.28671894406164306,0.31591860608489963,0
92,44,0.14660538584903227,0.16433227268495798,0
98,60,0.37618726471884,0.39578952186292427,0
96,78,0.045603051524345184,0.24721015235129074,0
78,53,0.27476444116186777,0.2207652506866885,0
62,68,0.17545750627603934,0.05853350821380293,0
51,48,0.3807553158587361,0.30910903165813053,0
77,46,0.21304573752347056,0.11128820878551526,0
48,89,0.4459484543883883,0.07330241084601274,1
68,76,0.1166140362122639,0.29065270861339115,0
84,40,0.4401799843192084,0.11834259684103937,0
46,64,0.29594436941064217,0.17510912335015677,1
99,70,0.24083349398205767,0.18899379506112723,0
78,66,0.12436207721514397,0.16512626450954926,0
42,84,0.005676822383709534,0.23433032099706314,1
97,59,0.05940895813403596,0.05876312338855244,0
80,78,0.37302243963271164,0.2916843825485798,1
96,99,0.14285604314093037,0.43429956409473014,0
77,92,0.48161126972030566,0.006077237344908171,1
71,84,0.021579955975288057,0.44557155684903554,0
93,60,0.49648239805965017,0.03689828236769943,1
74,58,0.4846512678095495,0.2615489220850744,0
80,88,0.3478743444923086,0.22727053238388661,1
92,93,0.2921571559615501,0.4505790052454945,0
96,50,0.14048159479611516,0.47520574203827937,0
47,77,0.22782837639285647,0.31006629890076837,0
47,97,0.09406057986188066,0.23184920246999108,1
97,99,0.29182805592543604,0.03886731848249242,0
80,75,0.49310537223980144,0.34908085700987257,0
56,48,0.15476380814316387,0.40689750985347434,0
67,87,0.08130846967244565,0.45546359224692123,0
45,57,0.2083195288692396,0.29058131059041314,0
64,41,0.04137421001765307,0.43833074296289637,0
98,84,0.08241713056850047,0.20562755829268453,0
93,40,0.24018504093317733,0.49264302533275217,0
50,60,0.37478914998803603,0.19649472448942956,1
98,66,0.2845407345828738,0.03175591479500067,0
80,74,0.0669260594003166,0.0068359824134986424,0
94,45,0.345857198584456,0.26717313751473154,0
44,77,0.4565828761288214,0.292574766162736,1
92,76,0.37854060102122794,0.18892527463789321,1
60,53,0.10252266425326245,0.12572121975589923,0
84,52,0.10361382450402823,0.4391103337395961,0
79,71,0.02344823389560996,0.13433624101265368,0
78,65,0.24908259332294647,0.2381053483945071,0
42,98,0.1538886198855247,0.4081928676065312,0
83,44,0.04420411168282329,0.39590891973481646,0
56,87,0.24002298350923756,0.21026788933253754,1
76,60,0.3196806784871212,0.40252233375968094,0
78,77,0.308631856048646,0.49023136254618893,0
89,73,0.3183221608111413,0.27740780427111283,1
90,73,0.17412773351165017,0.2569947445799054,0
63,54,0.19827139116063508,0.31104335011393675,0
90,56,0.47476031182882106,0.07353674046451897,0
95,56,0.2460581465397691,0.12912219414947917,0
63,44,0.4900162876427385,0.2463090469964348,0
52,82,0.2898249672358692,0.17078160522827251,1
86,96,0.23005957949178601,0.29238305297457684,0
50,93,0.3488337868484659,0.09003363617464927,1
43,95,0.20583060717876406,0.43715880242720856,0
66,68,0.48655517463505216,0.3009676977704801,0
90,58,0.4108953184222246,0.17254131391119337,0
81,61,0.044351266878527806,0.060317935550300406,0
80,51,0.10316685920289625,0.18213493052403773,0
53,65,0.34519741431468265,0.019656069920549468,1
96,86,0.3139501947454539,0.040879515974435954,1
69,82,0.4604362002659066,0.030538979927431875,1
65,75,0.40310063989653067,0.3741298451918292,0
91,54,0.26829532299366626,0.46202087955371657,0
53,65,0.3799777044687928,0.265632876986767,1
41,84,0.031170681255620725,0.07386954595311335,1
90,46,0.34358275270166555,0.4222203363168144,0
82,86,0.01523607636679708,0.43360749053736164,0
77,74,0.19858191625204125,0.05243458326624045,0
94,76,0.09114193923797903,0.2819825460094182,0
56,78,0.044602164356028096,0.26766778200776176,1
64,56,0.17146343213913012,0.23698497071527808,0
49,42,0.324411420145788,0.2397910508771251,0
75,86,0.36841123769745643,0.2788711329752187,1
79,88,0.28222927126132064,0.18938631297564468,0
76,45,0.44982369857250615,0.3037776111467864,0
98,95,0.2491238489244701,0.165174240640457,0
96,72,0.00376718156703737,0.11266639885626412,0
45,94,0.24390490040436896,0.4254087589180731,0
69,70,0.02782674467848767,0.4211570176490908,0
42,90,0.009121240714180523,0.34848073118321077,0
63,70,0.4483051314870104,0.28799920890283,1
50,43,0.0026500031988027084,0.48753358147257125,0
69,95,0.36144804831088784,0.4104307365766763,0
41,54,0.26751836602245527,0.238309742063206,0
84,83,0.10253878007472955,0.4839970332521171,0
43,58,0.09975346366915988,0.3681235918492441,0
51,86,0.35361504782222225,0.3838897507214194,0
77,76,0.2530519781796735,0.46600717112846707,0
52,82,0.2969415487789494,0.18461524075494806,1
95,49,0.2743015589690766,0.27446098994448864,0
41,52,0.34228577393991666,0.043934055621328405,0
76,48,0.3801139299448433,0.29781937030392214,0
63,77,0.20592045707363427,0.17443413327149765,0
88,44,0.41530970389386457,0.4825134553332563,0
53,92,0.36543373760182213,0.4691702284105189,0
51,74,0.03324813368338875,0.3705603246450295,0
61,99,0.42091438837913603,0.06988618831314475,1
80,76,0.10081366002387226,0.08182797143285225,0
60,76,0.40728736011569106,0.33259861034810007,0
65,43,0.1580982911482473,0.29415333789752834,0
57,79,0.22597430064951962,0.356891227427663,0
71,90,0.3120507720909188,0.2698905309573165,1
54,72,0.11610634757340865,0.44978728663728423,0
94,41,0.2717764305569943,0.45323605548227347,0
90,78,0.058449020354182035,0.46991606180673756,0
46,90,0.16745280732854306,0.06963603633169363,1
54,86,0.31003637796425676,0.26673054598816076,1
78,66,0.3942986056122654,0.07583743986637559,1
72,76,0.38928596952537553,0.07156399277423481,1
43,61,0.3570320411118071,0.24699074356543133,1
49,72,0.05145801537207251,0.2682406757422974,1
86,75,0.22850010964083917,0.30197893603625625,0
54,68,0.26993031855641836,0.2431787409978039,1
43,51,0.38594099029912254,0.006101536159022258,0
90,90,0.2827541736614869,0.3580895373664761,0
66,44,0.41339941390453916,0.4795373972820139,0
79,77,0.11367549151499351,0.21179843121024144,0
65,85,0.3074751315763272,0.45592620442148235,0
79,57,0.3057271177173239,0.009055091910420254,0
99,82,0.4660591412418062,0.28256659179460447,1
43,44,0.46124969058864784,0.3536193171566993,0
81,88,0.2881441800834066,0.30335752319142795,0
93,90,0.3682221178123614,0.4671835073845074,0
61,50,0.22541968570206605,0.056619022920377626,0
60,65,0.41944904322296706,0.06233134060163342,1
96,40,0.43494818103106414,0.25941902856303606,0
79,54,0.19950135193506513,0.027380819411015667,0
48,49,0.4014267242990057,0.0023160115023014294,0
80,74,0.19908434679547166,0.26869780146896144,0
50,77,0.17317299718298063,0.17347660094811385,1
73,66,0.22610897044490358,0.11230241146999098,0
83,98,0.07042851018989993,0.08819349325311165,0
46,91,0.20946272475227395,0.45742295053405,0
88,68,0.2902941751390217,0.3161321439597652,0
67,89,0.3317686860083553,0.08901798343487571,1
59,80,0.07433136387655648,0.20731206186351187,1
67,79,0.2510975051656213,0.2976925086600219,0
52,69,0.3749802351995889,0.10495279654779288,1
58,71,0.23411591422068967,0.31248799352552614,0
68,69,0.41828240664616645,0.29372680211703717,1
40,53,0.3570295998949141,0.2638238650723929,0
93,67,0.24054397419379298,0.2485059744106245,0
90,43,0.09096406524763556,0.43089281050675865,0
78,42,0.18665465813987647,0.13537233657177689,0
85,73,0.2043670855490482,0.01269317783017243,0
67,71,0.35798611442369876,0.3294619709550757,0
40,96,0.11098608096647472,0.1155373982940357,1
98,47,0.05205429099228692,0.3999580426865947,0
42,90,0.32637305392593735,0.11909139052336326,1
73,74,0.12158609549972704,0.3611334659278296,0
95,85,0.4151099322834958,0.1985917648092274,1
76,93,0.10249214770791049,0.14657386513050663,0
87,57,0.006500961755368018,0.04275426542723404,0
62,60,0.013266101936909858,0.09071771754489866,0
75,68,0.21071227529624897,0.4463358555384874,0
86,44,0.17090867584893799,0.12971171671564624,0
41,42,0.29514747125740387,0.13403182041143813,0
44,76,0.2047058260956202,0.2760235904259901,1
73,92,0.14723287977095884,0.47422665348107834,0
61,83,0.07005658788322627,0.4342339879489564,0
95,98,0.4472761134470457,0.3999276279736576,0
56,89,0.011234654160058699,0.13433867969247304,1
79,41,0.31673910991307364,0.12894384271660114,0
93,61,0.41746511839964956,0.49220109035177606,0
97,68,0.08583964292415175,0.13615366325968448,0
50,45,0.4571494032802495,0.05887554144507057,0
75,80,0.137027610343603,0.2770890012578967,0
64,77,0.4148709018536008,0.1032106358803016,1
81,61,0.06844281503440364,0.45000932092405255,0
45,66,0.29870655108515415,0.3002584302168267,0
96,92,0.0876856393117248,0.4572059729624799,0
65,60,0.19156926412474873,0.25945885264141877,0
41,99,0.4793135886566103,0.0921854603394816,1
92,75,0.38549296276773926,0.03412485267704579,1
50,79,0.21859669817862176,0.457756838645957,0
98,78,0.3052023335039788,0.47465339852888283,0
94,86,0.47704346826981653,0.06750063871060347,1
95,72,0.13495561119609745,0.2699213894540967,0
58,74,0.4207648301550217,0.42320392465727863,0
98,84,0.07733607044161811,0.31166627545249537,0
41,92,0.1721918660221166,0.1757700805671094,1
40,64,0.3524627748444765,0.2991430291340773,1
64,78,0.037966705184811045,0.03888267203947854,0
83,83,0.4838496941035432,0.0026269092791924575,1
51,58,0.15729827840470545,0.4037151259083806,0
88,56,0.4751186769104012,0.22300288647897787,0
86,51,0.27095047368917907,0.43647291793820414,0
47,70,0.40328057393072486,0.3293916833553587,0
93,55,0.42459782578265964,0.12483400442959297,0
64,51,0.11060472090980111,0.4938340039983235,0
84,65,0.01971340568425295,0.35278758625784423,0
46,56,0.09028767256366677,0.28397261527631473,0
97,46,0.01697298929289942,0.34871013362341996,0
48,90,0.4621980976882652,0.4855291225826839,0
62,68,0.23710710832873189,0.4310213254946567,0
78,74,0.15955023662162782,0.4144577370753387,0
56,53,0.2981349392410265,0.11500441864385152,0
99,84,0.03847660081460458,0.3481443879390699,0
79,65,0.3623833857643807,0.032678170399471185,1
54,95,0.2697456461876686,0.39536158241948177,0
64,52,0.31294568821850455,0.44298887411809357,0
81,83,0.11647973737681688,0.01220039077826901,0
81,73,0.010634705425193569,0.4373508363420997,0
52,57,0.4695338492564481,0.3993916178868327,0
78,85,0.17535590772585508,0.38359414446556345,0
68,92,0.23989066342825238,0.29037860361366385,0
83,86,0.19914369198781778,0.04584966755571507,0
78,59,0.36879115079444574,0.11938857288415117,0
42,84,0.17731107882038827,0.14361949582704087,1
43,57,0.11680387552495497,0.02104659481818094,0
40,92,0.4938611948680158,0.21388656686793117,1
88,96,0.3398236413465349,0.10912694393253208,1
97,76,0.393172507207776,0.04470550115612976,1
45,78,0.43955915378108235,0.47236601114570514,0
50,52,0.49459245490667947,0.37167641144681207,0
43,98,0.20079011821274373,0.4189128676416227,0
93,92,0.4153212588753123,0.06016938101749797,1
82,73,0.19204530574562478,0.018365968713306813,0
97,42,0.4131028478969829,0.40038484356493753,0
93,86,0.10816201151827676,0.2591301833381961,0
59,97,0.2625157504301341,0.13011668397576365,1
74,89,0.24559317043431328,0.49816788790336214,0
42,71,0.23169037410780996,0.31146869146755934,0
86,64,0.2964699674208516,0.2900431039189056,0
73,50,0.4387304313151902,0.13280002129435303,0
67,68,0.4443740399344886,0.4778257491148767,0
51,81,0.40475803736243904,0.32762099031951086,0
44,50,0.04349337995570507,0.20422660653534935,0
54,77,0.1298768918801631,0.36171005684429247,0
65,57,0.04052310795382397,0.11009160097490567,0
52,67,0.03806542974515009,0.42560345702438435,0
79,84,0.240293288663324,0.2962038923297588,0
97,42,0.17390460395109653,0.3390080762795318,0
66,52,0.13351413508471066,0.439314993177579,0
58,55,0.32922591732921275,0.42529086454712095,0
98,87,0.3541814883575174,0.418506664181836,0
64,92,0.3400703858801502,0.30930568910759215,0
77,99,0.07930255264653685,0.4404353795994642,0
97,96,0.014623641517279573,0.41290837528238133,0
49,71,0.16755942712957095,0.3717541281458039,0
70,57,0.4089835120595311,0.41606708897887096,0
